"","Metabolic_activity","compound","taxonomy.ID"
"3992","Macromolecule degradation","C00317, C00369, C00480, C00718","Coprococcus eutactus"
"3993","Macromolecule degradation","C00317, C00369, C00480, C00718","[Eubacterium] rectale"
"3994","Macromolecule degradation","C00317, C00369, C00480, C00718","[Eubacterium] siraeum"
"3995","Macromolecule degradation","C00317, C00369, C00480, C00718","Flavobacterium johnsoniae"
"3996","Macromolecule degradation","C00317, C00369, C00480, C00718","Holdemania filiformis"
"3997","Macromolecule degradation","C00317, C00369, C00480, C00718","Parabacteroides distasonis"
"3998","Macromolecule degradation","C00317, C00369, C00480, C00718","Prevotella ruminicola"
"3999","Macromolecule degradation","C00317, C00369, C00480, C00718","Roseburia intestinalis"
"4000","Macromolecule degradation","C00317, C00369, C00480, C00718","Roseburia inulinivorans"
"4001","Macromolecule degradation","C00317, C00369, C00480, C00718","Ruminococcus bromii"
"4002","Macromolecule degradation","C00317, C00369, C00480, C00718","Streptococcus equinus"
"4003","Production (export)","C01530","Butyrivibrio proteoclasticus"
"4004","Consumption (import)","C01530","Desulfarculus baarsii"
"4005","Consumption (import)","C01530","Syntrophomonas wolfei"
"4006","Production (export)","C00042","Actinobacillus succinogenes"
"4007","Consumption (import)","C00042","Aeromicrobium marinum"
"4008","Production (export)","C00042","Alistipes putredinis"
"4009","Production (export)","C00042","Alistipes shahii"
"4010","Production (export)","C00042","Anaerostipes caccae"
"4011","Consumption (import)","C00042","Bacillus subtilis"
"4012","Production (export)","C00042","Bacteroides caccae"
"4013","Production (export)","C00042","Bacteroides cellulosilyticus"
"4014","Production (export)","C00042","Phocaeicola coprocola"
"4015","Production (export)","C00042","Phocaeicola coprophilus"
"4016","Production (export)","C00042","Phocaeicola dorei"
"4017","Production (export)","C00042","Bacteroides eggerthii"
"4018","Production (export)","C00042","Bacteroides finegoldii"
"4019","Production (export)","C00042","Bacteroides fragilis"
"4020","Production (export)","C00042","Bacteroides helcogenes"
"4021","Production (export)","C00042","Bacteroides intestinalis"
"4022","Production (export)","C00042","Bacteroides ovatus"
"4023","Production (export)","C00042","[Bacteroides] pectinophilus"
"4024","Production (export)","C00042","Phocaeicola plebeius"
"4025","Production (export)","C00042","Phocaeicola salanitronis"
"4026","Production (export)","C00042","Bacteroides stercoris"
"4027","Production (export)","C00042","Bacteroides thetaiotaomicron"
"4028","Production (export)","C00042","Bacteroides uniformis"
"4029","Production (export)","C00042","Phocaeicola vulgatus"
"4030","Production (export)","C00042","Bacteroides xylanisolvens"
"4031","Production (export)","C00042","Bifidobacterium adolescentis"
"4032","Production (export)","C00042","Bifidobacterium angulatum"
"4033","Production (export)","C00042","Bifidobacterium animalis"
"4034","Production (export)","C00042","Bifidobacterium bifidum"
"4035","Production (export)","C00042","Bifidobacterium breve"
"4036","Production (export)","C00042","Bifidobacterium catenulatum"
"4037","Production (export)","C00042","Bifidobacterium dentium"
"4038","Production (export)","C00042","Bifidobacterium gallicum"
"4039","Production (export)","C00042","Bifidobacterium longum"
"4040","Production (export)","C00042","Bifidobacterium pseudocatenulatum"
"4041","Consumption (import)","C00042","Bilophila wadsworthia"
"4042","Production (export)","C00042","Blautia hydrogenotrophica"
"4043","Production (export)","C00042","Clostridium acetobutylicum"
"4044","Production (export)","C00042","Clostridium beijerinckii"
"4045","Consumption (import)","C00042","Clostridium kluyveri"
"4046","Production (export)","C00042","Clostridium perfringens"
"4048","Consumption (import)","C00042","Corynebacterium glutamicum"
"4049","Consumption (import)","C00042","Desulfobulbus propionicus"
"4050","Consumption (import)","C00042","Pseudodesulfovibrio aespoeensis"
"4051","Consumption (import)","C00042","Desulfovibrio desulfuricans"
"4052","Consumption (import)","C00042","Solidesulfovibrio fructosivorans"
"4053","Consumption (import)","C00042","Solidesulfovibrio magneticus"
"4054","Consumption (import)","C00042","Desulfovibrio piger"
"4055","Consumption (import)","C00042","Maridesulfovibrio salexigens"
"4056","Consumption (import)","C00042","Desulfovibrio vulgaris"
"4057","Consumption (import)","C00042","Sinorhizobium meliloti"
"4058","Production (export)","C00042","Escherichia albertii"
"4059","Consumption (import) & production (export)","C00042","Escherichia coli"
"4060","Production (export)","C00042","Escherichia fergusonii"
"4061","Production (export)","C00042","[Eubacterium] siraeum"
"4062","Production (export)","C00042","Fibrobacter succinogenes"
"4063","Production (export)","C00042","Geobacter sulfurreducens"
"4064","Production (export)","C00042","Holdemania filiformis"
"4065","Consumption (import)","C00042","Klebsiella pneumoniae"
"4066","Production (export)","C00042","Lactiplantibacillus plantarum"
"4067","Production (export)","C00042","Marvinbryantia formatexigens"
"4068","Production (export)","C00042","Megamonas hypermegale"
"4069","Production (export)","C00042","Odoribacter splanchnicus"
"4070","Production (export)","C00042","Parabacteroides johnsonii"
"4071","Production (export)","C00042","Parabacteroides merdae"
"4072","Production (export)","C00042","Pelotomaculum thermopropionicum"
"4073","Production (export)","C00042","Prevotella amnii"
"4074","Production (export)","C00042","Prevotella bergensis"
"4075","Production (export)","C00042","Prevotella bivia"
"4076","Production (export)","C00042","Prevotella bryantii"
"4077","Production (export)","C00042","Prevotella buccae"
"4078","Production (export)","C00042","Prevotella buccalis"
"4079","Production (export)","C00042","Prevotella copri"
"4080","Production (export)","C00042","Prevotella disiens"
"4081","Production (export)","C00042","Prevotella marshii"
"4082","Production (export)","C00042","Prevotella melaninogenica"
"4083","Production (export)","C00042","Prevotella multiformis"
"4084","Production (export)","C00042","Prevotella oralis"
"4085","Production (export)","C00042","Prevotella oris"
"4086","Production (export)","C00042","Prevotella ruminicola"
"4087","Production (export)","C00042","Prevotella salivae"
"4088","Production (export)","C00042","Alloprevotella tannerae"
"4089","Production (export)","C00042","Prevotella timonensis"
"4090","Production (export)","C00042","Prevotella veroralis"
"4091","Production (export)","C00042","Pseudoflavonifractor capillosus"
"4092","Consumption (import)","C00042","Pseudomonas aeruginosa"
"4093","Production (export)","C00042","Pyramidobacter piscolens"
"4094","Consumption (import)","C00042","Rhizobium leguminosarum"
"4095","Consumption (import)","C00042","Rhodobacter capsulatus"
"4096","Production (export)","C00042","Ruminococcus bromii"
"4097","Production (export)","C00042","Ruminococcus flavefaciens"
"4098","Production (export)","C00042","Subdoligranulum variabile"
"4099","Consumption (import)","C00042","Veillonella parvula"
"4100","Production (export)","C00042","Wolinella succinogenes"
"4101","Consumption (import)","C00042","Xanthomonas campestris"
"4102","Consumption (import)","C00089","Bacillus subtilis"
"4103","Consumption (import)","C00089","Bacteroides xylanisolvens"
"4104","Consumption (import)","C00089","Bifidobacterium breve"
"4105","Consumption (import)","C00089","Butyrivibrio fibrisolvens"
"4106","Consumption (import)","C00089","Butyrivibrio proteoclasticus"
"4107","Consumption (import)","C00089","Catenibacterium mitsuokai"
"4108","Consumption (import)","C00089","Clostridium acetobutylicum"
"4109","Consumption (import)","C00089","Clostridium beijerinckii"
"4110","Consumption (import)","C00089","Collinsella aerofaciens"
"4111","Consumption (import)","C00089","Coprococcus comes"
"4112","Consumption (import)","C00089","Coprococcus eutactus"
"4113","Consumption (import)","C00089","Desulfovibrio piger"
"4114","Consumption (import)","C00089","Dorea longicatena"
"4115","Consumption (import)","C00089","[Eubacterium] rectale"
"4116","Consumption (import)","C00089","Fusobacterium mortiferum"
"4117","Consumption (import)","C00089","Holdemania filiformis"
"4118","Consumption (import)","C00089","Klebsiella pneumoniae"
"4119","Consumption (import)","C00089","Lacticaseibacillus casei"
"4120","Consumption (import)","C00089","Leptotrichia buccalis"
"4121","Consumption (import)","C00089","Marvinbryantia formatexigens"
"4122","Consumption (import)","C00089","Parabacteroides distasonis"
"4123","Consumption (import)","C00089","Parabacteroides merdae"
"4124","Consumption (import)","C00089","Prevotella copri"
"4125","Consumption (import)","C00089","Roseburia intestinalis"
"4126","Consumption (import)","C00089","Streptococcus equinus"
"4127","Consumption (import)","C00089","Streptococcus mutans"
"4128","Consumption (import)","C00089","Subdoligranulum variabile"
"4129","Consumption (import)","C00089","Saccharolobus solfataricus"
"4130","Consumption (import)","C00089","Xanthomonas campestris"
"4131","Production (export)","C00059","Acidithiobacillus caldus"
"4132","Production (export)","C00059","Allochromatium vinosum"
"4133","Production (export)","C00059","Aquifex aeolicus"
"4134","Consumption (import)","C00059","Archaeoglobus fulgidus"
"4135","Consumption (import)","C00059","Archaeoglobus profundus"
"4136","Consumption (import)","C00059","Candidatus Baumannia cicadellinicola"
"4137","Consumption (import)","C00059","Bilophila wadsworthia"
"4138","Consumption (import)","C00059","Buchnera aphidicola"
"4139","Consumption (import)","C00059","Caldivirga maquilingensis"
"4140","Production (export)","C00059","Chlorobium chlorochromatii"
"4141","Production (export)","C00059","Chlorobium ferrooxidans"
"4142","Production (export)","C00059","Chlorobium limicola"
"4143","Production (export)","C00059","Chlorobium phaeobacteroides"
"4144","Production (export)","C00059","Prosthecochloris vibrioformis"
"4146","Consumption (import)","C00059","Deinococcus radiodurans"
"4147","Consumption (import)","C00059","Desulfarculus baarsii"
"4148","Consumption (import)","C00059","Desulfatibacillum alkenivorans"
"4149","Consumption (import)","C00059","Desulforapulum autotrophicum"
"4150","Consumption (import)","C00059","Desulfobulbus propionicus"
"4151","Consumption (import)","C00059","Desulfosudis oleivorans"
"4152","Consumption (import)","C00059","Desulfohalobium retbaense"
"4153","Consumption (import)","C00059","Desulfomicrobium baculatum"
"4154","Consumption (import)","C00059","Desulfonatronospira thiodismutans"
"4155","Consumption (import)","C00059","Desulfotalea psychrophila"
"4156","Consumption (import)","C00059","Desulfofarcimen acetoxidans"
"4157","Consumption (import)","C00059","Desulfotomaculum nigrificans"
"4158","Consumption (import)","C00059","Desulforamulus reducens"
"4159","Consumption (import)","C00059","Pseudodesulfovibrio aespoeensis"
"4160","Consumption (import)","C00059","Desulfovibrio desulfuricans"
"4161","Consumption (import)","C00059","Solidesulfovibrio fructosivorans"
"4162","Consumption (import)","C00059","Solidesulfovibrio magneticus"
"4163","Consumption (import)","C00059","Desulfovibrio piger"
"4164","Consumption (import)","C00059","Maridesulfovibrio salexigens"
"4165","Consumption (import)","C00059","Desulfovibrio vulgaris"
"4166","Consumption (import)","C00059","Escherichia coli"
"4167","Consumption (import)","C00059","Methanosarcina acetivorans"
"4168","Consumption (import)","C00059","Methanosarcina barkeri"
"4169","Consumption (import)","C00059","Methanosarcina mazei"
"4170","Production (export)","C00059","Methylorubrum extorquens"
"4171","Production (export)","C00059","Paracoccus denitrificans"
"4172","Consumption (import)","C00059","Pyramidobacter piscolens"
"4173","Production (export)","C00059","Rhodobacter capsulatus"
"4174","Production (export)","C00059","Cereibacter sphaeroides"
"4175","Production (export)","C00059","Rhodopseudomonas palustris"
"4176","Consumption (import)","C00059","Ruminococcus bromii"
"4177","Production (export)","C00059","Starkeya novella"
"4178","Production (export)","C00059","Sulfolobus acidocaldarius"
"4179","Production (export)","C00059","Sulfolobus islandicus"
"4180","Production (export)","C00059","Saccharolobus solfataricus"
"4181","Production (export)","C00059","Sulfurisphaera tokodaii"
"4182","Consumption (import)","C00059","Syntrophobacter fumaroxidans"
"4183","Consumption (import)","C00059","Thermodesulfovibrio yellowstonii"
"4184","Production (export)","C00059","Thiobacillus denitrificans"
"4185","Production (export)","C00059","Hydrogenovibrio crunogenus"
"4186","Production (export)","C00059","Wolinella succinogenes"
"4187","Production (export)","C00059","Xanthobacter autotrophicus"
"4188","Consumption (import)","C00087","Acidithiobacillus caldus"
"4189","Consumption (import)","C00087","Allochromatium vinosum"
"4190","Consumption (import)","C00087","Aquifex aeolicus"
"4191","Consumption (import)","C00087","Chlorobium chlorochromatii"
"4192","Consumption (import)","C00087","Chlorobium ferrooxidans"
"4193","Consumption (import)","C00087","Chlorobium limicola"
"4194","Consumption (import)","C00087","Chlorobium phaeobacteroides"
"4195","Consumption (import)","C00087","Prosthecochloris vibrioformis"
"4196","Consumption (import)","C00087","Methylorubrum extorquens"
"4197","Consumption (import)","C00087","Paracoccus denitrificans"
"4198","Consumption (import)","C00087","Rhodobacter capsulatus"
"4199","Consumption (import)","C00087","Cereibacter sphaeroides"
"4200","Consumption (import)","C00087","Rhodopseudomonas palustris"
"4201","Consumption (import)","C00087","Starkeya novella"
